kra17 kra79
15.8847 1.5989e-17 1.71042e-17
15.9005 1.60053e-17 1.7121e-17
15.9164 1.60216e-17 1.71379e-17
15.9324 1.60379e-17 1.71548e-17
15.9483 1.60543e-17 1.71717e-17
15.9642 1.60707e-17 1.71887e-17
15.9802 1.60871e-17 1.72056e-17
15.9962 1.61035e-17 1.72226e-17
16.0122 1.61199e-17 1.72396e-17
16.0282 1.61363e-17 1.72566e-17
16.0442 1.61528e-17 1.72736e-17
16.0603 1.61693e-17 1.72906e-17
16.0763 1.61857e-17 1.73077e-17
16.0924 1.62023e-17 1.73248e-17
16.1085 1.62188e-17 1.73419e-17
16.1246 1.62353e-17 1.7359e-17
16.1407 1.62519e-17 1.73761e-17
16.1569 1.62684e-17 1.73932e-17
16.173 1.6285e-17 1.74104e-17
16.1892 1.63016e-17 1.74276e-17
16.2054 1.63183e-17 1.74448e-17
16.2216 1.63349e-17 1.7462e-17
16.2378 1.63515e-17 1.74792e-17
16.2541 1.63682e-17 1.74965e-17
16.2703 1.63849e-17 1.75137e-17
16.2866 1.64016e-17 1.7531e-17
16.3029 1.64183e-17 1.75483e-17
16.3192 1.64351e-17 1.75656e-17
16.3355 1.64518e-17 1.7583e-17
16.3518 1.64686e-17 1.76003e-17
16.3682 1.64854e-17 1.76177e-17
16.3845 1.65022e-17 1.76351e-17
16.4009 1.6519e-17 1.76525e-17
16.4173 1.65359e-17 1.76699e-17
16.4337 1.65527e-17 1.76874e-17
16.4502 1.65696e-17 1.77048e-17
16.4666 1.65865e-17 1.77223e-17
16.4831 1.66034e-17 1.77398e-17
16.4996 1.66203e-17 1.77573e-17
16.5161 1.66372e-17 1.77748e-17
16.5326 1.66542e-17 1.77924e-17
16.5491 1.66712e-17 1.781e-17
16.5657 1.66882e-17 1.78275e-17
16.5822 1.67052e-17 1.78451e-17
16.5988 1.67222e-17 1.78628e-17
16.6154 1.67392e-17 1.78804e-17
16.632 1.67563e-17 1.78981e-17
16.6487 1.67734e-17 1.79157e-17
16.6653 1.67905e-17 1.79334e-17
16.682 1.68076e-17 1.79511e-17
16.6987 1.68247e-17 1.79689e-17
16.7154 1.68418e-17 1.79866e-17
16.7321 1.6859e-17 1.80044e-17
16.7488 1.68762e-17 1.80222e-17
16.7656 1.68934e-17 1.804e-17
16.7823 1.69106e-17 1.80578e-17
16.7991 1.69278e-17 1.80756e-17
16.8159 1.69451e-17 1.80935e-17
16.8327 1.69623e-17 1.81113e-17
16.8496 1.69796e-17 1.81292e-17
16.8664 1.69969e-17 1.81471e-17
16.8833 1.70142e-17 1.81651e-17
16.9002 1.70316e-17 1.8183e-17
16.9171 1.70489e-17 1.8201e-17
16.934 1.70663e-17 1.8219e-17
16.9509 1.70837e-17 1.8237e-17
16.9679 1.71011e-17 1.8255e-17
16.9848 1.71185e-17 1.8273e-17
17.0018 1.71359e-17 1.82911e-17
17.0188 1.71534e-17 1.83091e-17
17.0358 1.71709e-17 1.83272e-17
17.0529 1.71884e-17 1.83453e-17
17.0699 1.72059e-17 1.83635e-17
17.087 1.72234e-17 1.83816e-17
17.1041 1.72409e-17 1.83998e-17
17.1212 1.72585e-17 1.8418e-17
17.1383 1.72761e-17 1.84362e-17
17.1554 1.72937e-17 1.84544e-17
17.1726 1.73113e-17 1.84726e-17
17.1898 1.73289e-17 1.84909e-17
17.207 1.73466e-17 1.85092e-17
17.2242 1.73642e-17 1.85275e-17
17.2414 1.73819e-17 1.85458e-17
17.2586 1.73996e-17 1.85641e-17
17.2759 1.74173e-17 1.85825e-17
17.2932 1.74351e-17 1.86008e-17
17.3105 1.74528e-17 1.86192e-17
17.3278 1.74706e-17 1.86376e-17
17.3451 1.74884e-17 1.8656e-17
17.3624 1.75062e-17 1.86745e-17
17.3798 1.7524e-17 1.8693e-17
17.3972 1.75419e-17 1.87114e-17
17.4146 1.75597e-17 1.87299e-17
17.432 1.75776e-17 1.87485e-17
17.4494 1.75955e-17 1.8767e-17
17.4669 1.76134e-17 1.87856e-17
17.4843 1.76313e-17 1.88041e-17
17.5018 1.76493e-17 1.88227e-17
17.5193 1.76673e-17 1.88413e-17
17.5368 1.76853e-17 1.886e-17
17.5544 1.77033e-17 1.88786e-17
17.5719 1.77213e-17 1.88973e-17
17.5895 1.77393e-17 1.8916e-17
17.6071 1.77574e-17 1.89347e-17
17.6247 1.77755e-17 1.89534e-17
17.6423 1.77936e-17 1.89722e-17
17.66 1.78117e-17 1.89909e-17
17.6776 1.78298e-17 1.90097e-17
17.6953 1.78479e-17 1.90285e-17
17.713 1.78661e-17 1.90473e-17
17.7307 1.78843e-17 1.90662e-17
17.7485 1.79025e-17 1.9085e-17
17.7662 1.79207e-17 1.91039e-17
17.784 1.7939e-17 1.91228e-17
17.8018 1.79572e-17 1.91417e-17
17.8196 1.79755e-17 1.91607e-17
17.8374 1.79938e-17 1.91796e-17
17.8552 1.80121e-17 1.91986e-17
17.8731 1.80304e-17 1.92176e-17
17.8909 1.80488e-17 1.92366e-17
17.9088 1.80672e-17 1.92556e-17
17.9267 1.80856e-17 1.92747e-17
17.9447 1.8104e-17 1.92938e-17
17.9626 1.81224e-17 1.93129e-17
17.9806 1.81408e-17 1.9332e-17
17.9986 1.81593e-17 1.93511e-17
18.0166 1.81778e-17 1.93702e-17
18.0346 1.81963e-17 1.93894e-17
18.0526 1.82148e-17 1.94086e-17
18.0707 1.82333e-17 1.94278e-17
18.0887 1.82519e-17 1.9447e-17
18.1068 1.82704e-17 1.94663e-17
18.1249 1.8289e-17 1.94856e-17
18.143 1.83076e-17 1.95048e-17
18.1612 1.83263e-17 1.95241e-17
18.1793 1.83449e-17 1.95435e-17
18.1975 1.83636e-17 1.95628e-17
18.2157 1.83823e-17 1.95822e-17
18.2339 1.8401e-17 1.96016e-17
18.2522 1.84197e-17 1.9621e-17
18.2704 1.84384e-17 1.96404e-17
18.2887 1.84572e-17 1.96598e-17
18.307 1.84759e-17 1.96793e-17
18.3253 1.84947e-17 1.96988e-17
18.3436 1.85136e-17 1.97183e-17
18.362 1.85324e-17 1.97378e-17
18.3803 1.85512e-17 1.97574e-17
18.3987 1.85701e-17 1.97769e-17
18.4171 1.8589e-17 1.97965e-17
18.4355 1.86079e-17 1.98161e-17
18.454 1.86268e-17 1.98357e-17
18.4724 1.86458e-17 1.98554e-17
18.4909 1.86648e-17 1.9875e-17
18.5094 1.86837e-17 1.98947e-17
18.5279 1.87027e-17 1.99144e-17
18.5464 1.87218e-17 1.99341e-17
18.565 1.87408e-17 1.99539e-17
18.5835 1.87599e-17 1.99736e-17
18.6021 1.87789e-17 1.99934e-17
18.6207 1.8798e-17 2.00132e-17
18.6393 1.88172e-17 2.0033e-17
18.658 1.88363e-17 2.00529e-17
18.6766 1.88555e-17 2.00727e-17
18.6953 1.88746e-17 2.00926e-17
18.714 1.88938e-17 2.01125e-17
18.7327 1.8913e-17 2.01324e-17
18.7514 1.89323e-17 2.01524e-17
18.7702 1.89515e-17 2.01724e-17
18.789 1.89708e-17 2.01923e-17
18.8078 1.89901e-17 2.02123e-17
18.8266 1.90094e-17 2.02324e-17
18.8454 1.90287e-17 2.02524e-17
18.8642 1.90481e-17 2.02725e-17
18.8831 1.90674e-17 2.02926e-17
18.902 1.90868e-17 2.03127e-17
18.9209 1.91062e-17 2.03328e-17
18.9398 1.91257e-17 2.03529e-17
18.9587 1.91451e-17 2.03731e-17
18.9777 1.91646e-17 2.03933e-17
18.9967 1.91841e-17 2.04135e-17
19.0157 1.92036e-17 2.04337e-17
19.0347 1.92231e-17 2.0454e-17
19.0537 1.92426e-17 2.04742e-17
19.0728 1.92622e-17 2.04945e-17
19.0919 1.92818e-17 2.05148e-17
19.1109 1.93014e-17 2.05352e-17
19.1301 1.9321e-17 2.05555e-17
19.1492 1.93406e-17 2.05759e-17
19.1683 1.93603e-17 2.05963e-17
19.1875 1.938e-17 2.06167e-17
19.2067 1.93997e-17 2.06371e-17
19.2259 1.94194e-17 2.06576e-17
19.2451 1.94391e-17 2.06781e-17
19.2644 1.94589e-17 2.06986e-17
19.2836 1.94787e-17 2.07191e-17
